Title,Company_Name,Work_Experience,Portal_Link,Job_Listing_Link,Company'S_Rating,No._Of_Opening,Applicant,Job_Posting_Date,Minimum_Salary,Maximum_Salary,Average_Salary,Benefit,Work_Type,Role,Industry_Type,Department,Employment_Type,Role_Category,UG,PG,Skill,Shift_Timing,About_Company,Job_Description,Days_Since_Posting,Classified_Job_Post,Travel_Requirement
Ab Initio Architect,Infosys,8 11 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-ab-initio-architect-infosys-limited-bengaluru-8-to-11-years-220524907647,3.8,17,,22-05-2024,,,,"Cafeteria, Health Insurance, Soft Skill Training, Gym, Job Training",Work From Home,Technical Architect,IT Services  Consulting,Engineering - Software  QA,"Full Time, Permanent",Software Development,B.TechB.E. in Any Specialization,Any Postgraduate,Skills highlighted with   are preferred keyskills,,"Infosys is a global leader in next-generation digital services and consulting. Over 300,000 of our people work to amplify human potential and create the next opportunity for people, businesses and communities. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer clients, in more than 50 countries, as they navigate their digital transformation powered by the cloud. We enable them with an AI-powered core, empower the business with agile digital at scale and drive continuous improvement with always-on learning through the transfer of digital skills, expertise, and ideas from our innovation ecosystem. We are deeply committed to being a well-governed, environmentally sustainable organization where diverse talent thrives in an inclusive workplace. Company Info Address . Awarded by AmbitionBox Winner of Ambitionbox Best Places to Work in India 2022 Learn more","Responsibilities A day in the life of an Infoscion As part of the Infosys delivery team, your primary role would be to provide best fit architectural solutions for one or more projects. You would also provide technology consultation and assist in defining scope and sizing of work You would implement solutions, create technology differentiation and leverage partner technologies. Additionally, you would participate in competency development with the objective of ensuring the best-fit and high quality technical solutions. You would be a key contributor in creating thought leadership within the area of technology specialization and in compliance with guidelines, policies and norms of Infosys.If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you Technical and Professional Requirements Primary skillsTechnology-Data Management - Data Integration-Ab Initio Preferred Skills Technology-Data Management - Data Integration-Ab Initio Additional Responsibilities Knowledge of architectural design patterns, performance tuning, database and functional designs Hands-on experience in Service Oriented Architecture Ability to lead solution development and delivery for the design solutions Experience in designing high level and low level documents is a plus Good understanding of SDLC is a pre-requisite Awareness of latest technologies and trends Logical thinking and problem solving skills along with an ability to collaborate Educational Requirements Bachelor of Engineering Service Line Data  Analytics Unit  Location of posting is subject to business requirements",108,,No
Abinitio Architect,Essenware,5 8 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-abinitio-architect-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-210524502451,4.7,1,51,21-05-2024,,,,,,Solution Architect,IT Services  Consulting,Engineering - Software  QA,"Full Time, Permanent",Software Development,Any Graduate,Any Postgraduate,Process monitoringDelivery excellenceArchitectTeam managementComplianceProject managementStrategic planningAb InitioQuality PlanningProject planning,,ESSENWARE PRIVATE LIMITED has committed to provide high quality of Consulting Services and Corporate Trainings to our customers in locally in India and across the globe.,"To plan, execute, control and ensure closure of projects, while managing people and delivery excellence in all parameters of time, cost and processes in projects Drive execution of the project roadmap and manage entire project lifecycle from strategy planning to tactical activities Ensure high customer connect for the project, building processes for all relevant team members to engage with the customer Ensure completion of Project Satisfaction Report and relevant survey and feedback mechanisms Guide the launch of project from concept to delivery by managing the project and governing the overall budget Articulate and explain designs and constraints to stakeholders after understanding customer perspective Ensure compliance to internal tools Sensitize the team to go beyond the immediate deliverables to assess how to provide greater value to the customer on an ongoing basis Determine methodology and processes for quality planning in concurrence with project planning, define standards to use, document quality criteria and quality measurement processes, face audits and project process monitoring Review project profitability and other agreed parameters and provide relevant status reports to the management and customer Ensure steering committee meetings and other regular meetings with customer Develop supporting documentation and materials including demonstrations, presentations and other tools to ensure solutions are easy to manage and repeatable Create and maintain project level dashboards to enable effective project management Promote team work, motivate, coach and develop people in the team to build functional skills and desired behaviours to deliver results Ensure high levels of engagement within the team Manage complex scenarios effectively like business risks, multiple vendor issues, code red situations etc and customer expectations without impacting associates adversely Provide technical and other guidance as required to the team and assess the performance of the associates",109,,No
ABKJ ArchitectDesigner,ABKJ,4 6 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-abkj-architect-designer-abkj-bengaluru-4-to-6-years-210524008242,3.7,2,24,21-05-2024,,,,"Health Insurance, Job Training, Team Outings, Soft Skill Training, Free Food",Work From Home,Architect,Engineering  Construction,"UX, Design  Architecture","Full Time, Permanent",Architecture  Interior Design,B.Arch in Any Specialization,,,,"Andersen Bjornstad Kane Jacobs Inc. ABKJ is a multi-disciplinary design firm well recognized for providing Architecture, Engineering, and BIM services. Founded in 1956, our innovative designs, talented team, and design resources are delivered from our global locations in Seattle, Washington, USA, and Bangalore, India. We are actively searching and recruiting new members to join our team to sustain continued growth of the firm and project needs. Currently, ABKJ is in search of Architectural Designers to add their talent, skills, vision, and local knowledge for projects in both US and India. Company Info Link ABKJ website Address Level 7, The Executive Center MFar Greenheart Manyata Tech Park Hebbal Outer Ring Road, Bangalore, Bengaluru Bangalore Urban, BANGALORE, Karnataka, India","Architect Job Responsibilities Research, programs, plans, designs, and administer building projects for clients, applying knowledge of planning, architectural design, construction detailing, construction procedures, and building codes, and building materials and systems. Produce conceptual plans, renderings, and documents. Planning, programming, and layout of projects coordinates and integrates engineering elements into unified design for client review and approval. Utilizes computer-assisted design software and equipment to prepare project designs and plans. Ability to manage, delegate, review, develop, and production of construction documents in a full-fledged BIM Revit environment. Work and communicate with US Principals and Project Managers to then direct, supervise, and monitor activities of supporting team engaged in preparing drawings and specification documents for the Conceptual Design Phase, Schematic Design Phase, andor the Detailed Design Phase of a project. Interfaces with US Principal Architect, local Director, project managers, engineers, and BIM team and clearly understand comments, guidance, and special requirements to implement and apply to projects. Assist US Principal for local India service on project management, design development, construction administration, and dealing with the clients. Works in tandem with highly collaborative multi-discipline design teams. Assists in research and coordination of materials and products for project specifications. Attend design team meetings based on required times and physical or virtual locations Develop project schedules and assess manpower needs and resources Perform site visits and observations to evaluate existing conditions and construction work performed or completed Architect Qualifications  Skills Ability to provide elegant and efficient design solutions Excellent oral and written English communication skills Analytical and problem-solving skills High attention to detail Ability to work under indirect supervision Effective interpersonal skills and collaborative management style to include teamwork and team building ability Comfortable with ambiguity and time spent outside of comfort zone acquiring new skills Technically creative and open-minded Flexibility in working hours to communicate and coordinate with US team members Ability to travel Education, Experience, and Licensing Requirements Bachelors or Masters Degree in Architecture from an accredited institution 4-5 years of architectural experience preferably within an architecture firms field Understanding and knowledge of building codes, zoning regulations, building construction, building systems, and site requirements Proficiency in Revit, AutoCAD, SketchUp, Photoshop, Bluebeam, PlanGrid, and Microsoft Office suite is required Registered with Indian Council of Architects and local jurisdictional agencies If you are interested to be a part of the ABKJ team, please send your resume to HR-Indiaabkj.com, and to know more about us, please visit www.ABKJ.com and ABKJ LinkedIn page httpswww.linkedin.comcompanyandersen-bjornstad-kane-jacobs-abkjmycompany. Please share this job posting with your professional network.",109,Company,Yes
AIOps Architect,Sutherland,5 10 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-aiops-architect-sutherland-hyderabad-bangalore-rural-5-to-10-years-200524006404,3.7,2,60,23-05-2024,,,,,,Other,IT Services  Consulting,Other,"Full Time, Permanent",Other,B.TechB.E. in Computers,,,,,"Job Title AIOps Architect Location HyderabadBangalore Job Type Full-TimeContract Experience Level 5-10 years Job Description As an AIOps Architect, you will be responsible for designing and implementing sophisticated AI based automated IT operations solutions that utilize machine learning, data science, and advanced analytics. Your expertise in log analytics, correlation engines, anomaly detection, tools integration, data pipelines, and AIOps platforms will be crucial in enhancing our IT service management ITSM and Site Reliability Engineering SRE practices. Key Responsibilities Architecture  Design Lead the architecture, design, and implementation of AIOps solutions, ensuring they are scalable, reliable, and high performing. Develop frameworks for log analytics to process and analyze large datasets. Correlation  Anomaly Detection Design and build correlation engines to detect patterns and identify root causes of issues across IT environments. Implement anomaly detection systems to proactively identify and resolve potential problems. Tools Integration  Data Pipeline Integrate AIOps tools with existing IT infrastructure and platforms to enhance operational efficiency. Design and implement robust data pipelines to ensure seamless data flow and processing across various systems. Observability  Telemetry Develop observability strategies utilizing metrics, logs, and traces to monitor application and infrastructure health and performance. Implement telemetry solutions for real-time data collection and analysis. Machine Learning  Data Science Apply machine learning and data science techniques to improve predictive maintenance, capacity planning, and incident management. Use advanced analytics to derive insights from operational data and enhance decision-making. Collaboration  Leadership Collaborate with SRE, DevOps, and ITSM teams to integrate AIOps solutions into existing workflows. Provide technical leadership and mentorship to junior team members and stakeholders. Tooling  Technology Expertise in the ELK Elasticsearch, Logstash, Kibana stack for centralized logging and analytics. Work with AIOps platforms to automate and optimize IT operations processes. Qualifications Bachelors or Masters degree in Computer Science, Information Technology, or a related field. 8-10 years of experience in IT operations, with a focus on AIOps, log analytics, and observability. Proficient in designing and implementing correlation engines and anomaly detection systems. Strong experience with tools integration and data pipeline design. Deep understanding of SRE principles and ITSM processes. Hands-on experience with machine learning algorithms and data science techniques. Excellent problem-solving skills and ability to thrive in a fast-paced environment. Strong communication and collaboration skills. Preferred Skills Experience with cloud platforms AWS, Azure, GCP and their monitoring tools. Knowledge of containerization and orchestration technologies Docker, Kubernetes. Proficiency in programming and scripting languages Python, Java, Bash. Experience with additional AIOps platforms and tools. Experience in building scalable AIOps platforms using machine learning and artificial intelligence frameworks.",107,,No
Anaplan Architect,Telemerge It Services,10 12 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-anaplan-architect-telemerge-it-services-united-kingdom-uk-london-10-to-12-years-220524008642,4.7,1,14,22-05-2024,,,,,,Solution Architect,IT Services  Consulting,Engineering - Software  QA,"Full Time, Permanent",Software Development,Any Graduate,,,,"Telemerge is a team of dedicated and skilled professionals who are passionate about technology. We firmly believe that the power of technological innovation can bring about a positive transformation in the way businesses operate, and we work tirelessly towards achieving exactly that for all our customers. Company Info Address FL 15, S No.6342A, Madhusudan Park, , PUNE, Maharashtra, India","Experience  10 years Onsite UK Osterley three days office visit in the week. Ideal candidate will be Anaplan Certified Solution Architect. Enhancing the forecasting and planning of existing implementation within Finance to other functions like supply chain and procurement. Including new databases and models into consideration for forecasting models and planning. Implementing best practices within the forecasting models Experience in working with senior stakeholders, understanding their requirements, articulating the requirements into forecasting models, and generating the desired outcomes. Experience in delivering forecasting models on a regular basis to various stakeholders and enhancing the models based on inputs, feedback, and change in requirements. Experience working in an Agile delivery model. Prepared to work on BAU issues or any high priority issues flagged by the business or technology teams. Proficiently manage multi-model planning, ensuring seamless integration and efficient coordination",108,,No
Ansible Architect,Trianz,8 12 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-ansible-architect-trianz-digital-consulting-private-limited-bengaluru-8-to-12-years-200524901421,3.8,63,,20-05-2024,Min 18 LPA,Max 47 LPA,Avg. salary - 31.6 LPA,"Soft Skill Training, Health Insurance, Cafeteria, Job Training, Transport",Work From Home,Technical Architect,IT Services  Consulting,Engineering - Software  QA,"Full Time, Permanent",Software Development,B.TechB.E. in Any Specialization,Any Postgraduate,,,"About Trianz Trianz is a leading-edge technology platforms and services company that accelerates digital transformations in data  analytics, digital experiences, cloud infrastructure, and security. The companys IP Led Transformations vision, strategy, and business models are based on insights from a recent global study spanning 20 industries and 5000 companies worldwide. Trianz believes that companies around the world face three challenges in their digital transformation journeys - shrinking time to transform due to competition  AI, lack of digital-ready talent, and uncertain economic conditions. To help clients leapfrog over these challenges, Trianz has built IP and platforms that have transformed the adoption of the cloud, data, analytics  insights AI. Trianz platforms are changing the way companies approach various transformation disciplines  Concierto A fully automated platform to Migrate, Manage, and Maximize the multi  hybrid cloud. A zero code and SaaS platform, Concierto allows teams to migrate to AWS, Azure, and GCP and manage them efficiently from a single pane of glass. Visit www.concierto.cloud for more information.  Extrica Data to AI Platform Built on the concept of federated or distributed data, Extrica revolutionizes how users access data anywhere in the companys ecosystems productizes data and makes it available in a Netflix like user experience while delivering BI and AI powered insights. Visit www.extrica.io for more.  Pulse Recognizing that workforces will be distributed, mobile, and fluid, Trianz has built a future of work digital workplace platform called Pulse. Visit www.trianz.comPulse Since the market launch of this strategy in mid-2023, Trianz has experienced enormous growth, success, and recognition.  Some of Trianz built IP in data and analytics was acquired by Amazon. Since then, Trianz has been made an engineering partner of Amazon for buildingsupporting connected ecosystems across multiple AWS platforms.  Trianz Concierto cloud platform and Extrica Datamesh are gaining traction, winning dozens of customers with 50 customers and partners in the queue.  As an AWS Premier level qualified partner, Trianz is building and delivering platforms and services that are disrupting industry value propositions. At a time when the services industry is struggling with its ability to deliver value at a pace that Trianz demands, Trianz IP Led Digital Transformation Services business model and value proposition are changing the game for companies and cloud providers such as AWS, Azure, and GCP. Rated 1 by clients in value delivery 5 years in a row, Trianz will surpass industry growth rates by a wide margin in the coming years. Trianz is led by Sri Manchala, a former special forces officer from the Indian army and author on digital leadership Crossing the Digital Faultline  Trianz, and a team of veterans from well-known firms such as Deloitte, HCL, KPMG, Wipro, Microsoft, AWS, GE, etc. Trianz is seeking talent that is driven by our purpose - to help accelerate digital transformations- and is motivated to change the way our industry delivers value. Company Info Address .","Notice  Immediate 30 days Mode  Permanent Min. 8 Years of experience in IT and Min. 5 years in Product Development. Expertise in Automating Cloud and OnPrem administrative activities, including AWS, Azure, GCP, and VMware. Some activities include Provisioning a server, Decommissioning, Creation of VPC, Firewall, Subnets, ec2 role assignments, domain joining, etc., Expertise in Automating Windows and Linux OS Administration activities ex Applications installation, Uninstallation, OS hardening, etc., Hands-on experience with AWX, Ansible, Terraform, PowerShell, and Shell Scripting. Expertise in setting up Ansible AWX in Kubernetes. Experience with Vault-based solutions like KeyVault, HCP vault, and Secret Manager. Experience with Windows and Linux Patching Understanding of Security Benchmarks like CIS, NIST, etc., Good experience in Solution Designing, exploring new technologies, and adapting them to the Product. Good understanding of workflow-based automation is an added advantage. Should be able to lead and guide the team on POCs, documentation and troubleshooting",110,,No
APIGEE Architect,Essenware,9 14 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-apigee-architect-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-9-to-14-years-070623501806,4.7,1,87,04-05-2024,,,,,,Software Development - Other,IT Services  Consulting,Engineering - Software  QA,"Full Time, Permanent",Software Development,Any Graduate,Any Postgraduate,ArchitectPayrollArchitectureManagement,,ESSENWARE PRIVATE LIMITED has committed to provide high quality of Consulting Services and Corporate Trainings to our customers in locally in India and across the globe.,Apigee Architecture Develop API proxies and API products Implementation of API management features API security to ensure a robust and secure consumption of sensitive data Develop API portal for consumption of APIs Support in integrating applications and services Support API developers in understanding API management feature Make configuration changes to Apigee via CICD nand not via Apigee UI. Create handover documentation to support organization. Working Hours  Danfoss prefers that you work in EMEA time zone as this supportsthe API Management team in the best way. Project related travel is expected,126,Company,Yes
Architect Construction Industry,Design Thoughts Architects,3 4 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-construction-industry-design-thoughts-architects-bengaluru-3-to-4-years-230923500929,1.3,1,107,04-05-2024,,,,,,Architecture  Interior Design - Other,Architecture  Interior Design,"UX, Design  Architecture","Full Time, Permanent",Architecture  Interior Design,Any Graduate,Any Postgraduate,ArchitectConstructionTeam managementConsultingArchitectural designManagementInterior designingPowerpointElectricals,,"Design Thoughts Architects was established in the year 2011 with the aim of providing customized solutions in the architecture and design field. The company has designed numerous small, medium, and large residential and commercial buildings. The company serves different segments like residential, commercial, mixed-use, hospitality to institutional. The company is highly known as a result of its high-quality designed building. The company also contributes in terms of technical know-how and bylaws to its stakeholders from the pre-construction stage to the final construction stage.","Requirement Gathering. Zoning layout Preparing schematic floor plan. Revision of floor plan. Spatial Concept PPT. 2 Concept. Client Presentation. Model Revision. Render . Taking required details from the client. preparing a set of architectural drawing Co-ordination and mailing Arranging of Structural set of drawing Set-1 Coordination and taking specification details from client Arranging BOQ Estimation from Team Architecture Structure -set 2 Skills Good verbal written communication skills in English, Hindi Kannada Cool composed to handle multiple stakeholders Ability to manage multiple projects Team Management. Excellent problem-solving skills Knowledge Architectural Structural Electrical Plumbing working drawings Appointing team on Job Construction methods Attitude Confident. Go getter Positive attitude Problem solve",126,,No
Architect IBM CP4I Chennai,NSEIT,10 15 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-ibm-cp4i-chennai-nseit-chennai-10-to-15-years-100424007860,3.6,1,15,31-05-2024,,,,"Job Training, Soft Skill Training, Health Insurance, Team Outings, Transport, Cafeteria",,Technical Architect,IT Services  Consulting,Engineering - Software  QA,"Full Time, Permanent",Software Development,Any Graduate,,,,"NSEIT Limited, a leading provider of mission critical technology solutions for the Financial Services industry, is a 100 subsidiary of the National Stock Exchange of India Limited NSEIL - the 3rd largest stock exchange in the world. Since 1999, NSEIT has emerged as the preferred technology partner for deploying high end solutions for the financial services sector. Being an SEI-CMM Level 5 assessed and ISO 27001 certified organization, NSEIT has earned an enviable track record of exemplary success with its products, services  solutions in low latency and high transaction systems in areas like algorithmic trading, portal, exchange and brokerage solutions. Company Info Address GROUND FLOOR,GROUND FLOOR ANDHERI KURLA ROAD,ANDHERI EAST, MUMBAI, Maharashtra, India","Architect position Skills IBM CP4I, ACE and APIC, total Years of experience more than 10 years  Do you have atleast 10 years of experience in CP4I paltform API, ACE  DataPower  Are you experienced in architecting CP4I solutions that meet enterprise integration requirements  Have you successfully managed CP4I projects from inception to deployment, ensuring they meet timelines and quality standards  Have you architected end-to-end solutions using IBM Cloud Pak for Integration CP4I  Are you experienced in designing and implementing CP4I solutions using industry standards  Have you led architecture design sessions with stakeholders to define CP4I solution requirements and integration patterns  Are you proficient in creating technical documentation and diagrams to illustrate CP4I architectures and deployment strategies  Have you successfully integrated CP4I with various third-party systems, databases, and APIs to enable seamless data flow and process automation  Have you conducted architecture reviews and provided recommendations for improving CP4I implementations  Are you willing to work in Office without WFH or Hybrid mode and from Chennai Np-Immediate or Max 30 days Candidates Prefer Intrested Candidates can send there cv on rakshaamlaninseit.com",99,,No
