Title,Company_Name,Work_Experience,Portal_Link,Job_Listing_Link,Company'S_Rating,No._Of_Opening,Applicant,Job_Posting_Date,Minimum_Salary,Maximum_Salary,Average_Salary,Benefit,Work_Type,Role,Industry_Type,Department,Employment_Type,Role_Category,UG,PG,Skill,Shift_Timing,About_Company,Job_Description,Days_Since_Posting,Classified_Job_Post,Travel_Requirement
Architect And Designer,A N Architects And Planners,1 3 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-and-designer-a-n-architects-and-planners-gurugram-1-to-3-years-270524004114,,1,40,27-05-2024,,,,,,Architect,Architecture  Interior Design,"UX, Design  Architecture","Full Time, Permanent",Architecture  Interior Design,B.Arch in Any Specialization,,Strong architectural design and project management skills. Experience in software development and integration - 2D  3D. Excellent communication and collaboration skills. Ability to work well in a team and individually.,,"ANAP was founded with a mission to bridge the gap between the current market demand of architecture  construction services and supply of the same, as there is a huge discrepancy in the expected quality, design aesthetics  construction techniques. Company Info Address C-56, Basement, South City-1, Gurugram, Haryana 8826641234","The Architect will be responsible for architectural design, project management, and 2D and 3D software development integration. The role involves day-to-day tasks related to design and collaborating with project teams.",103,,No
Architect And Designer,Synergy Facade Consultancy,2 3 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-and-designer-synergy-facade-consultancy-thane-2-to-3-years-290524011210,,2,Less than 10,29-05-2024,,,,,,Design Engineer,Engineering  Construction,"Production, Manufacturing  Engineering","Full Time, Permanent",Engineering,"Diploma in Any Specialization, B.Arch in Any Specialization, B.TechB.E. in Any Specialization",,,,"Leading Facade Consultancy firm based in Mumbai doing all kind of projects all over India Company Info Address Office No.7, Shivlok Chs Dadlani Park, Balkum, Thane, Thane, Maharashtra, 400608, THANE, Maharashtra, India",Role  responsibilities BIM Revit Designer with Architectural  Construction back ground Minimum 2  3 Years experience in Revit Facade Experience shall be added advantage Preferred candidate profile Revit Designer Perks and benefits As per industrial norms,101,,No
Architect Disney Hotstar,The Walt Disney Company,4 8 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-disney-hotstar-the-walt-disney-mumbai-gurugram-4-to-8-years-170524500911,4.1,1,21,17-05-2024,,,,"Cafeteria, Job Training, Soft Skill Training, Health Insurance, Transport",Work From Home,Technical Architect,Film  Music  Entertainment,Engineering - Software  QA,"Full Time, Permanent",Software Development,Any Graduate,Any Postgraduate,InfotainmentArchitectCareer developmentBackendOperational excellenceConflict resolutionAnalyticalArchitectural designPerformance optimizationData structures,,"The key to our success. The Cast, Crew, Imagineers and Employees who honor Disneys rich legacy by stretching the bounds of imagination to create the never-before-seen, bringing unparalleled entertainment experiences to people of all ages.","The Architect at Disney Hotstar, the leading OTT platform in India, will hold a pivotal position collaborating with key leaders to spearhead innovation initiatives and contribute significantly to the architectural design of Subscription  Payments. They will oversee the entire team s tech platform and help guide the team, collaborating with them and their leaders. Should have the humility to learn, build depth, understand the workings of all critical frontendbackend systems, and even be hands-on with critical components during key events. The Architect will build and raise the bar on best practices. They will constantly work on improving the Tech culture - be a culture guardian. Key Responsibilities Lead the management of operational excellence, focusing on efficiency in cost and operations, and providing guidance for the team s improvement Ensure the quality of the overall architecture and design of various systems and components Simplify complex problems into straightforward solutions Develop technical roadmaps for future directions and technological advancements Understand system interdependencies and limitations to facilitate decision-making and conflict resolution within teams Take ownership of building and launching key components and systems Influence teams technically to enhance productivity and effectiveness, while also mentoring on advanced technical matters for career development Facilitate rapid prototyping to identify and eliminate blind spots Skills  Attributes for success Led by example, took ownership of projects, and spearheaded the development and launch of critical components and systems Possess sound business judgment and strong influencing skills to drive strategic decisions and initiatives effectively Strong analytical thinking to dissect complex problems and devise innovative solutions, showcasing exceptional problem-solving abilities Demonstrated proficiency in software development, leveraging hands-on experience and expertise to design and implement high-quality solutions Offered extensive technical knowledge in data structures, algorithms, and performance optimization, and provided comprehensive guidance across frontend and backend technologies Mentored team members to success while fostering a collaborative and inclusive environment, exhibiting strong leadership qualities Thrived in dynamic environments, achieved goals, and addressed challenges for long-term success Maintained a growth mindset, continuously expanded knowledge and skills, and contributed to a positive team culture",113,,No
Architect High riseCommercialResidential Bangalore,Hirexpert,3 7 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-high-rise-commercial-residential-bangalore-hirexpert-bengaluru-3-to-7-years-210524009638,,6,49,21-05-2024,,,,,,Architect,Architecture  Interior Design,"UX, Design  Architecture","Full Time, Permanent",Architecture  Interior Design,B.Arch in Architecture,,,,We are hiring for reputed Architectural firm. Interested candidates can share their resumes to 8328908824 or akshitahirexpert.in,"Architect for Bangalore loc Experience- 3-7 years Skills- Sketchup, AutoCad Loc- MG Road Qualification- B.Arch Candidates should have experience into High Rise Buildings, Commercial Projects. Candidates should be available to join immediately.",109,,No
Architect in GurgaonGurugram,Star Lead Services,4 9 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-in-gurgaon-gurugram-star-lead-services-gurgaon-gurugram-4-to-9-years-200524004538,,61,,20-05-2024,,,,,,Architect,Architecture  Interior Design,"UX, Design  Architecture","Full Time, Permanent",Architecture  Interior Design,Graduation Not Required,,,,Hiring for Client,"We are hiring An architect, Having worked on design and build projects as well as interior fit outsCommercial projects  Required Candidate profile Liaised with client and all stakeholders Managed project costing. Vendors management Managed site execution work and client meetings",110,,No
Architect in PCMC,Primohunt Corporate,0 4 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-in-pcmc-primohunt-corporate-pune-0-to-4-years-110722502686,,1,1088,04-05-2024,,,,,,Architect,Recruitment  Staffing,"UX, Design  Architecture","Full Time, Permanent",Architecture  Interior Design,"B.Arch in Architecture, Diploma in Mechanical",Any Postgraduate,ArchitectSalesArchitectureAutoCADArchitectural designTool designSite executionREVITCommercial buildingscommercial projects,,"PrimoHunt Corporate Services, an Executive Search  HR Consultancy is a young emerging organization established by HR professional with an aim to provide end to end integrated HR solutions to organizations. We started our operations in 2017 at Pimpri in Pune. We are engage in Recruitment  Recruitment Process Outsourcing RPO Service at Senior and Middle Management Levels across various functions in India.","Qualification Diploma  B.Arch in Architecture Experience minimum 2 to 4 years as Architectural designing for Architect firm  Construction  Real Estate industry. Technical skills AutoCAD  Architectural designing Tools  Revit Work location PCMC in Pune Conceptual Design and Feasibility study. Follow up a project from acquisition, design to execution. Design residential and commercial buildings as per prevailing municipal regulations To coordinate and scrutinize structural drawings, working drawings, service drawings, sales drawings, brochure drawings, presentation drawings etc. Should have experience in on-site execution. Have to coordinate with the project manager, site engineers contractors. Have to Check drawings provide in-house support to other Architects offices for outsourced projects. Coordinate with outside consultants Should have worked on latest designing tools.",126,Company,No
Architect USA,C Level Cds Inc,3 8 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-usa-c-level-cds-inc-india-3-to-8-years-240524012614,,1,33,24-05-2024,,,,,,Architect,Architecture  Interior Design,"UX, Design  Architecture","Full Time, Permanent",Architecture  Interior Design,"Any Graduate, B.A in Any Specialization",,,,"C-Level CDs is a USA architectural support firm that specializes in supporting USA projects for small to medium size design firms. We deliver Construction Documentation and offer our clients modeling and CADRevitArchicad support that is above drafting level output. We deliver value by reducing cost and staffing risk for our clients while providing consistent output of daily markups and production deliverables. Company Info Link C Level Cds, Inc. website Address 187 Parfitt Way SW Unit G-120, Bainbridge Island, WA USA","Role  responsibilities Create construction document and permit sets based on redlines and materials provided by client. Respond on time with daily workset and duties, accurately and with regard to USA local code and ADA compliance details. Understand and deliver ACAD and Revit workflows. Be able to respond to client design changes at the Design Development level. Preferred candidate profile More than a Drafter. You will be a Design-Level Autocad and Revit resource AND MUST HAVE USA EXPERIENCE. Your profile MUST include a list of USA projects, the scope of work which you delivered and strong details of USA PROJECT EXPERIENCE in order to be included for an interview. Perks and benefits Work from home, paid vacation, medical stipend, workstation and software with compensation for home office tools. IST working hours with only some overlap with USA timezones.",106,,No
Architect,Aedium Design,4 9 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-aedium-design-bengaluru-4-to-9-years-210524500205,,1,38,21-05-2024,,,,,,Architecture  Interior Design - Other,Architecture  Interior Design,"UX, Design  Architecture","Full Time, Permanent",Architecture  Interior Design,Any Graduate,Any Postgraduate,ConstructionArchitectureAutoCADProject DirectorArchitectural designCommercial DirectorREVITcommercial projectsResearchProject handling,,Aedium is a diverse  passionate design practice driven by a strong focus on transforming the world with great design.Our Design Leaders bring together diverse perspectives and varied expertise to address the challenges posed by the world today. We gain insight into how to make the world a better place through everyday experiences,"Analyse architectural design brief and discussion withclients wherever required. Designs projects andor review architectural or engineeringplans, specifications to ensure compliance with government codes, bye laws andregulations. Preparation of preliminary designs, concept  Schematicdrawings, working drawings, full detailed drawings and Technical specifications. Maintaining project schedules and completion timelines tothe clients as well internally. Coordination with external consultants and various internalMEP team members. Handling projects right from concept to commissioning underthe guidance of Project Director. Supervising Junior Architects works and assigning them tasksas and when required. Researching and inquiring about different materials andstaying updated on construction industry related materials. Visiting site on a periodical basis and clearing the siterelated queries. Should be a team player and shall be a hands-on member forany time bound project presentation.",109,,No
Architect,Aerial Geomatics,1 3 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-aerial-geomatics-bengaluru-1-to-3-years-240524009665,,1,41,24-05-2024,,,,,,Project Architect,Architecture  Interior Design,"UX, Design  Architecture","Full Time, Permanent",Architecture  Interior Design,B.Arch in Architecture,,,,"httpswww.aerialgeomatics.comabout Company Info Address 10, 2nd Cross , Om Sai Ram Enclave, Myadarahalli, Jalahalli West, Bangalore-15 , BANGALORE, Karnataka, India","Role  responsibilities To design and develop architectural drawings, develop 3D model, Site coordination and collaborate with structural team, MEP and landscape team. To prepare presentations for meetings. Preferred candidate profile B.Arch with expertise in drawing development with 1 to 4 years of experience in an architectural projects Proficient in Auto CAD, Sketchup and Photoshop",106,,No
Architect,Alekhya Homes,0 2 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-alekhya-homes-hyderabad-secunderabad-0-to-2-years-100123008345,3.1,4,149,01-06-2024,Min 1.5 LPA,Max 7.8 LPA,Avg. salary - 4.8 LPA,"Transport, Team Outings, Job Training, Education Assistance, Gym",Work From Home,Architect,Engineering  Construction,"UX, Design  Architecture","Full Time, Permanent",Architecture  Interior Design,B.Arch in Architecture,,,,"Alekhya Homes Company Info Address Shreyas Apartment, 41, 3rd Floor , Kondapur",Candidate should be B.Arch Graduate with 0 - 2 years of experience in Architecture and design for High rise residential building projects.,98,,No
Architect,Alekhya Homes,6 8 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-alekhya-homes-kondapur-6-to-8-years-280524010073,3.1,1,Less than 10,28-05-2024,Min 1.5 LPA,Max 7.8 LPA,Avg. salary - 4.8 LPA,"Transport, Team Outings, Job Training, Education Assistance, Gym",Work From Home,Architect,Real Estate Co-working,"UX, Design  Architecture","Full Time, Permanent",Architecture  Interior Design,B.Arch in Architecture,,,,Alekhya Homes,"Strong coordination, collaboration, and presentation skills. Coordinate with planners and consultants. Assist marketing and sales with project planning. Prepare documents for municipal approvals. Arrange site visits to monitor work quality.",102,,No
Architect,Archi Medes India Consultants Pvt Ltd,5 7 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-archi-medes-india-consultants-pvt-ltd-dubai-5-to-7-years-270524006650,5,1,52,27-05-2024,,,,"Job Training, Transport, Education Assistance, Gym, Cafeteria",Work From Home,Architect,Architecture  Interior Design,"UX, Design  Architecture","Full Time, Permanent",Architecture  Interior Design,B.Arch in Any Specialization,,,,"www.archimedes.in Company Info Address 9th floor, Sun square complex, Uma Shankar Joshi Marg, Vasant Vihar, Navarangpura, Ahmedabad, Gujarat - 380009","Create innovative, sustainable designs meeting top quality and functionality standards. Review designs, give feedback, and ensure compliance with codes and regulations",103,,No
Architect,Ardanuy India,15 20 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-ardanuy-india-prayagraj-varanasi-benaras-delhi-ncr-15-to-20-years-041023007816,4.1,1,15,29-05-2024,,,,"Health Insurance, Transport, International Relocation, Education Assistance, Soft Skill Training",Work From Home,Architecture  Interior Design - Other,Engineering  Construction,"UX, Design  Architecture","Full Time, Permanent",Architecture  Interior Design,B.Arch in Any Specialization,M.Arch in Architecture,,,"Ardanuy Ingenieria, SA is an Engineering Consulting company specializing in Studies, Projects, Construction Management, Safety Engineering, Operation  Maintenance studies and Technical advice for Railways high-speed, conventional, freight, Urban transport metro, trams, BRT, cable cars, Electrical engineering substations and high-voltage lines, Roads  Highways, Streets, etc., Building architecture and facilities and Telecommunications. Company Info Address First Floor, 258, Okhla Industrial Estate Phase-III, New Delhi, South Delhi , NEW DELHI, Delhi, India","Role  responsibilities Architects are in charge of design and project planning, and they are also responsible for the visual appearance of buildings and structures. Responsible for Researches, programs, plans, designs, and administers building projects for clients, applying knowledge of architectural design, construction detailing, construction procedures, zoning and building codes, and building materials and systems. Architects stay involved throughout the construction process, adapting their plans according to budget constraints, environmental factors and client needs. That means theyre part of an overall project design team, working closely with a range of construction professionals from quantity surveyors to building services engineers. Preferred candidate profile Graduate in Planning Architecture. Post Graduate in Planning  Architecture. Experience as Architect in design  layout  faade  master planning  construction  Construction Supervision of malls, convention center, Station Building  Airport Terminal Building. Good written and verbal communication skills in English. Strong background in RailwaysMetros required. Perks and benefits Best in industry salary and benefits as per experience",101,,No
Architect,Barbeque Nation,4 7 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-barbeque-nation-bengaluru-4-to-7-years-270524005637,4,1,70,27-05-2024,,,,"Free Food, Job Training, Team Outings, Cafeteria, Soft Skill Training, Health Insurance",,Architecture  Interior Design - Other,Hotels  Restaurants,"UX, Design  Architecture","Full Time, Permanent",Architecture  Interior Design,B.Arch in Any Specialization,,,,"www.barbequenation.com Company Info Address Unit No.601,602, 6th Floor, Saket Callipolis, Sarajapur Road, Doddakannalli Village, Varthur Hobli, Bengaluru Bangalore Urban, BANGALORE, Karnataka, India","We have an urgent requirement for an Architect with experience in fit-out projects. Location Bangalore 1.Job description Business Unit Barbeque Nation Hospitality, Head Office Location Bangalore Department Projects Function Design  Execution 2.Financial Accountability Manage the Project drawings as per guide line to within Budget of Project Department in consultation with project coordinator Head of Projects and Maintenance. 3.Purpose To coordinate, review, interpret and guide on interior design and technical drawings to achieve standard design direction set for barbeque nationToscano outlets across pan India. 4.Communication A. Internal This position will interact with the in house or outsource architect, project coordinator, project head, Regional project Managers of each region or upcoming new site to stay focused on BBQN Expansion plans and interior design and technical drawings related coordination, review, interpretation and guidelines or explanation. Design coordinator will work closely with the Internal Project Teams to ensure implementation of Facility Planning and procurement of all drawings on timely manner. Interactions with Heads of other support functions will be frequent. B.External This position will work closely with all external agency representatives to ensure effective and efficient Project and planning delivery support as per the specified guidelines and terms of contract. Other important relationships will be maintained with key Architects, Interior designer, product manufacturers or service provider to incorporate the new technological or cost efficient systems or work methods. 5.Main Duties Develop store layout for civil interiorexterior, design, dcor, concept, aesthetic, brand identity keeping minimum must have brand standards, industry or local regulation norms. Keeping cost optimization in target which may involve RD, etc. Achieve Quarterly or Annual Store Roll out Target in terms of store interiors drawings and details all Group Brands. Monitoring Drawing schedule for each store, evaluating and delivering the same on time. Carry out initial Technical project feasibility study to check on minimum infrastructure requirement for BBQNToscano interior fit out works. Respond with solution and clarity for all the queries raised by the project manager during the course of execution of the project which makes easier for the contractors to carry out the execution without any break. Identify various queries and qualities sought during the course of execution of the project and improvise on the same during designing next outlet, so that number of queries can be reduced, reducing dependency on the design coordinator and architect once given the complete set of drawings. Audit site during implementation and post completion once for quality of work and check whether the execution was as per drawing Submit BOQ along with final detailed drawings and coordinate with vendors and site team. Evaluating the performance of the architect as per the drawing and give feedback and pass the bill for payment and ensuring good relationship with the architect. 6.Additional Tasks Making initial block layout of the front of the house and back of the house plan. Take approvals on entire final plan for the new outlet Coordinate with the consultant on MEP  HAVC, Fire safety and networking drawing and approvals Plan kitchen bar layout and approvals. 7.Experience 5 years in Project management field with focus on RetailRestaurant or FB outlets Experience with FBhotel Retail brands desirable Operational experience in FB or related service industry desirable Experience in dealing and getting work done with external agencies 8.Skills Outstanding verbal and written communications skills in English and the ability to persuade others to consider a different point of view. Skill in developing and making effective presentation. Strong Knowledge of interior fit out works, MEP, HVAC, Plant and machineries, fire safety, Lighting systems, Hardware networking developmentmanagement Creative and a critical trained eye for creative review. Nuanced in high volume business operations desirable. Multiple language skills desirable. Technical problem solver desirable.",103,,No
Architect,Brillio,10 12 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-brillio-technologies-pvt-ltd-bengaluru-10-to-12-years-040424501431,3.5,1,12,04-05-2024,Min 24 LPA,Max 45 LPA,Avg. salary - 34.5 LPA,"Health Insurance, Cafeteria, Soft Skill Training, Team Outings, Job Training",Work From Home,Solution Architect,IT Services  Consulting,Engineering - Software  QA,"Full Time, Permanent",Software Development,Any Graduate,Any Postgraduate,TelecomArchitectCProduct engineeringTesting toolsGCPCloudSiliconmicrosoftTroubleshooting,,"We Are Brillio. Born of the digital age in 2014. We are laser-focused on turning technological disruptions into the advantages that our customers need to thrive in todays digital economy.Brillio is a company focused on digital technologies and big data analytics headquartered in Santa Clara, California, United States","Minimum of 10 years experience. Good Telecom and Network Management knowledge Experience in telecom network testing and troubleshooting - Experience in TEMS product is preferred Familiarity with Telecom Standards Capable of understanding the MEF, ONF, and TMF documentation Deep knowledge in cloud and microservices technologies Exposure and good working knowledge in .NET core Proficient in programming in any one of the languages is a must C Microsoft Foundation Classes Experience in C is good to have Proficient in any of the message queues like NATS message brokerRabbit MQActive MQ . Secondary Skills Microservices Patterns, RabbitMQ, Docker, C, .Net, Kubernetes Job requirements Integration and understanding of one of the chipsets Qualcomm, Mediatek, Hi-silicon Exposure to integration with GMaps Exposure to Open API and Soap API Experience in Database technologies like Postgres, Clickhouse Good understanding of caching mechanism and in-memory persistence Redis, Memcached to name a few Proficient in any of the cloud technology platforms like AWSAzureGCP Certification will be a plus Experience in using PostmanNewman testing tools Good working proficiency of docker and kubernetes Exposure to tools like Rancher, Geoserver is a plus Good exposure on .NET XAML",126,,No
Architect,Brillio,10 20 years,httpswww.naukri.com,httpswww.naukri.comjob-listings-architect-brillio-technologies-pvt-ltd-bengaluru-10-to-20-years-020424500102,3.5,1,106,04-05-2024,Min 24 LPA,Max 45 LPA,Avg. salary - 34.5 LPA,"Health Insurance, Cafeteria, Soft Skill Training, Team Outings, Job Training",Work From Home,Solution Architect,IT Services  Consulting,Engineering - Software  QA,"Full Time, Permanent",Software Development,Any Graduate,Any Postgraduate,GSMTelecomProduct engineeringPerformance managementService assuranceINAPMegacoSIPSCCPAmdocs,,"We Are Brillio. Born of the digital age in 2014. We are laser-focused on turning technological disruptions into the advantages that our customers need to thrive in todays digital economy.Brilliois a company focused on digital technologies andbig dataanalytics headquartered inSanta Clara, California, United States","Minimum of 10 years experience. Good Telecom OSS, 5G and telecom Network knowledge Deep expertise in Telecom OSS- Service assurance, Network Assurance, performance management Experience in telecom OSS products like Amdocs, MycomOSI , Ativa. Knowledge on mobile technologies like 5G, LTE, GSM. Familiarity with Telecom Standards like TMForum , 3GPP, ITU ETSI Deep understanding of Voice Protocols and Mobile protocols like Avaya H.323, Camel, Diameter, GTP, INAP, Megaco, NGAP, RTP, SCCP, SIP, TCAP, OTT Video. XCAP, VTAP Deep knowledge in cloud and microservices technologies Ability to curate a technical roadmap aligned with the product managers vision Proficient in C programming. Specialization Frontend Web Architect",126,,No
